Course	Title		Min Credits	Description	CourseType1	CourseType2
ART*111	Survey of Art History II	4	0	An introductory survey of Western art from the, Renaissance to the early 20th century.	HE	IP
ART*112	Comics: Words and Images	4	0	An investigation of comic book culture, its, origins, evolution, and contemporary practices. , To understand the cultural legacy of the comics,, students learn the background of European and, Asian influences.  Topics include the development, of the comic strip during the early 20th century,, the creation of the comic book, the range of, genres in comic books, the influence of the, international and underground comix movements,, the rise of alternative comics, and the emergence, of the graphic novel.  Students study the diverse, structure, symbolism, and imagery of the, sequential pictorial narrative form.  The class, consists of slide lectures, weekly reading, assignments, discussions, in-class reports, and, group projects.	HE	IP
ART*151	Drawing I	4	0	An introductory course in drawing, including a variety of, mediums and projects to develop discernment in observation, skill, in execution, and an understanding of drawing as an art form.	ME	HE
ART*155	Intro Studio Art:Creatv Proces	4	0	An introduction to studio art which includes studio projects in, two and three dimensions, readings, and discussions which unite , the process of making art with an exploration of some ideas and, imaginative sources which contribute to the world of the visual, artist.	ME	HE
ART*156	Art and the Environment	4	0	An introduction to studio art which explores the relationship , between art and the environment, including the role of the artist, in an environmental era.  We will focus on several areas, , including the natural environment, our urban-industrial , environment, the architectural environment, and how to make art, within thheir context.  Projects will include both two and three, dimensional explorations, as well as social sculpture, , installation, and environmentally sited works.	ME	HE
ART*165	Ceramics I	4	0	An introduction to hand-formed ceramics and to, pinching,, coiling, slab, and other off-the-wheel, techniques. Basic, ceramic chemistry and kiln firing practices will, also be, covered.	ME	HE
ART*171	Photography I	4	0	An introduction to photography as a potent form of, artistic visual communication.  Contemporary and, historical trends, techniques, and thematic, content are covered, with an emphasis on, proficiency with craft.  Hands-on assignments,, readings, lectures, and discussions provide a, broad survey of image analysis strategies, help, students learn technical basics, make informed, choices about materials and processes, and, articulate their own creative ideas.  The course, requires a 35 mm film camera with manually, adjustable apertures and shutter speeds.	ME	HE
ART*212	Art of Ancient Egypt & the Mediterranean	4	0	A survey of the art and architecture of ancient, Egypt from the first flowering of the Old Kingdom, through the expansion of empire during the New, Kingdom.  Artistic production is considered in, relation to the political and religious functions, of art.  The art of the New Kingdom in particular, is examined in connection with other, Mediterranean cultures of the late Bronze Age,, including Hittite, Minoan, and Mycenaean Greek. , Discussion topics include visual analysis and, changing interpretations of art in light of, recent work in archeology.	HE	IP
ART*213	Art of Ancient Greece and Rome	4	0	A lecture survey of the art and architecture of, classical Greece and Rome from ca. 1100 BCE to, ca. 300 CE.  Emphasis is placed on appearance and, content of the arts as they express social,, political, and religious values.  The artistic, productions of these ancient cultures are, examined together with the cultural, cross-currents from Mediterranean societies such, as Assyria, Persia, and late dynastic Egypt that, contributed to their development.  Artistic, themes are considered in relationship to primary, historical and literary sources.	HE	IP
ART*215	Art of the Middle Ages	4	0	A topical survey of European art from 1000-1400., Students explore art and architecture of a time, when visionary ideals and christian religious, inspiration helped artists depict unearthly, realities. Topics include apocalyptic illustration, beginning around the year 1000, the pilgrimage, cults of saints and relics, the rise of the great, cathedrals, and the development of Gothic style in, secular and sacred arts through the year 1400.	HE	IP
ART*222	Nature and Society	4	0	A survey of art and architecture from its earliest manifestations, through the mid-twentieth century, focusing on our relationship, to nature and the built environment.  The course will emphasize, works of art, literature, theology, philosophy and natural, history that provide a context for our ideological understanding, of our environment.  Possible topics will include Earth, Temple,, God and Goddess; City and Country in the Classical World; The, City of God vs. The Garden of Eden; Chinese Landscape; Landscape, Painting in the West; Our Built Environment.	HE	IP
ART*223	Far Eastern Art	4	0	A survey of art and architecture in Asia, includ-, ing Indochina, India, China, Korea, and Japan., Lectures and readings concern such topics as the, influence of Buddhism, Hinduism, and Islam on, Southeast Asian and Indian art and architecture;, the significance of Confucianism and Taosim in, Chinese painting; the concept of feng shui as a, central precept of Chinese architecture; the, impact of European colonialism on Chinese and, Japanese culture; the relationship of Japanese, and Korean art to Chinese models; & the evolution, of Japanese samurai culture in the Momoyama and, Edo periods.	HE	IP
ART*225	Art of the Italian Renaissance	4	0	Lectures and readings in the history of painting, sculpture,, and architecture in Italy from 1400 to 1600. Emphasis will be, placed on the social and political dynamics of ideas of, cultural rebirth during the 15th and 16th centuries.	HE	IP
ART*231	Art of Northern Renaissance	4	0	A survey of the major artists of northern Europe from 1400 to, 1600. The course will emphasize the stylistic and technical, innovations of northern art as an outgrowth of late Medieval, tendencies in the context of social, political and religious, changes during the 15th and 16th centuries.	HE	IP
ART*236	Germn Art:Middle Ages to Today	4	0	A survey of German Art from the Middle Ages to the present. , Emphasis will be placed on the social, political, and religious, contexts which contributed to the creation of the art works., Special use will be made of the galleries, museums, and the , annual Kunstmesse in Cologne to teach the course and to , introduce some aspects of the art market.  Taught in Cologne,, Germany.		
ART*241	19th C Euro Art:Acadmy-Atelier	4	0	A topical survey of European art from Neo-Classicism to, Impressionism (1750-1880).  Students will study the evolution, of early modernism through lectures and readings.  Topics will, include the life and death of history painting; the rise of, landscape painting; social and political issues in the visual, arts; the role of gender in the arts; and the growing interaction, between mass culture and avant-gardist art.	HE	IP
ART*245	American Art and Architecture	4	0	A survey of American painting, sculpture, and architecture from, colonial times to 1940.  Emphasis will be placed on the strong,, yet ambiguous relationship of American art to European culture , and the growth of an American consciousness in the arts.	HE	IP
ART*247	20th Century Art: Avant-Garde	4	0	A topical survey of European and American art from Post-, Impressionism to Surrealism (1880-1945).  Students will study, the different visions of modernism through lectures and readings., Topics will include urbanization and its effect on modernist , subject matter; Fin-de-Siecle views of modernist society; , technical experimentation in modernist painting and sculpture;, utopian concepts in modernist art movements; and alternative, art experiences in modernism.	HE	PD
ART*249	Art Since 1945: Road to Post-Modernism	4	0	A topical survey of European and American art, since the end of World War II.  Students study the, diversity of contemporary art movements and events, through lectures and readings.  Topics include the, changing conceptions of avant-gardism; the decline, of modernism in contemporary society; the role of, gender, race, and class in the evolution of post-, modernist art; and the interplay between popular, culture and the fine arts in post-modernism., Prerequisites: Any art history course or, permission of instructor.	HE	PD
ART*251	Figure Drawing I	4	0	Development of an understanding of the human, figure and of the graphic ability to express it, effectively.  Prerequisite:  Art 151 or permission, of instructor.	ME	HE
ART*255	Drawing II	4	0	A further development of the work in Art 151 with, a greater emphasis on drawing as the art form., Prerequisite: Art 151 or permission of instructor.	ME	HE
ART*261	Sculpture I	4	0	A beginning level course covering traditional as well as, contemporary forms of sculptural expression. Considerations of, form, space, and scale, as well as the significance of, materials and process will be explored. Projects will involve, clay modeling, wood construction, carving, and mixed media., Prerequisite: Any 100-level studio art course or permission of, the instructor.	ME	HE
ART*265	Ceramics II	4	0	A continuation of the study of ceramics beyond, the basic course.  Problems aimed toward the, development of more individual approaches and, solutions. Prerequisite:  Art 165	ME	HE
ART*271	Photography II	4	0	The development of photographic projects in color,, digital, or advanced black-white photography., Emphasis on photographic concepts and practice as, artistic and visual communication.  Prerequisite:, Art 171.	ME	HE
ART*275	Printmaking:Relief/Etching I	4	0	An introducation to printmaking as an art form, concentrating on relief and etching techniques., Linocut, line etching, aquatint, and color, techniques will be explored through studio, projects.	ME	HE
ART*276	Printmaking: Lithography I	4	0	An introduction to printmaking as an art form with emphasis on, drawing, processing and printing of lithographs.  Studio projects, will stress the creation of effective lithographic images.	ME	HE
ART*281	Painting I	4	0	A study of the fundamentals of painting in oils or, acrylics. The preparation of supports and grounds,, indirect and direct methods of painting, color, organization, composition and artistic expression, are presented through studio projects.  Historical, background on painting in the 20th century is, introduced.  A field trip to an area art museum is, required.  Prerequisite:  One studio course from, art 151, 155, 156 or permission of instructor.	ME	HE
ART*285	Electronic & Intermedia Art I	4	0	An introduction to using electronic technologies, and alternative media as art-making tools., Students integrate emerging and established, electronic technologies such as sensing, environments, digital, image/sound/video/visualization manipulation, and, data collection tools into artistic practice. We, explore cyberculture, wearable computing, social, media, mobile apps, and augmented reality,, utilizing electronics and emerging technologies, in innovative and unexpected ways.	ME	HE
ART*330	The Renaissance Woman	4	0	A seminar examining women as subjects, patrons, and producers of art in the Renaissance period, (1350-1550).  Art works are analyzed in context, of the Christian tradition, the revival of, classicism, and the changing religious and social, values of those years.  Traditional art-historical, methodologies as well as feminist critical, insights are used. Prerequisite: Any 200-level Art, History course or permission of the instructor.	HE	PD
ART*341	Art in Rebellion	4	0	A seminar examining the concept of revolution as, an integral part of modern art movements. Students, critically examine the notion of the avant-garde, through a study of the historical context of, modernist movements, including artists' statments,, criticism, literature, music, film, and theory., These cultural elements are also placed within a, larger social and political framework in order to, analyze and assess all the aspects of revolution-, ary tendencies in modernist discourse.  Topics, vary, inclduing art as radical politics, the, impact of technology on the arts, the concept of, anti-art, the experimentation with new art forms,, and the blurring of boundaries between high art, and popular culture.	HE	PD
ART*351	Figure Drawing II	2	4	A continuation of problems explored in Art 261, with concentration on the development of, individual ideas and processes.  Prerequisites:, Art 261.	ME	HE
ART*361	Sculpture II	4	0	A continuation of problems explored in Art 261 with, concentration on the development of individual ideas and, processes.	ME	HE
ART*365	Ceramics III	4	0	Advanced studio work in ceramics.  Prerequisites:, ART 165 and ART 265.	ME	HE
ART*375	Printmaking II	4	0	Advanced problems in printmaking. Prerequisite: , Art, 275 or 276.	ME	HE
ART*381	Painting II	4	0	Development of expressive ideas in oils, acrylics,, and water color.  Special attention is given to, art movements in the 20th century, the concepts, that characterize them, and the artists who are, involved.  Prerequisite:  Art 281.	ME	HE
ART*385	Electronic & Intermedia Art II	4	0	Advanced study of new-media and intermedia art, with an emphasis on the creation of work, integrating digital systems with physical bodies., Through an interactive approach, students develop, projects that explore networked interactions,, wearable computing, social media, augmented, reality, and related technologies. Media and, technological criticality are essential elements, of our study, which pursues creative deployment, of technological tools and media in art making., Prerequisite: ART 285.	ME	HE
ART*386	Internet Art	4	0	An introduction to using the Internet as a tool, for art creation. Students explore the, interrelationships between physical experiences, and the digital world. Projects explore, interactivity, networked wearable computing,, gaming, social media, mobile apps, augmented, reality, and cyberculture. Emphasis is placed on, technological and media criticality in creating, socially minded works of art. Prerequisite: ART, 285.	ME	HE
ART*520	Internship: Erie Art Museum	1	4	An internship for students with adequate preparation in art, history which will enable them to become familiar with the, operations of an art museum, including day-to-day, administration, preparation of special exhibits, and, interaction with the professional art world. In addition to, duties assigned by the museum, the student will keep a journal, and write a research paper. Special projects can be developed, as appropriate to student capabilities and the museum's, schedule. The intern will be evaluated by the Museum Director, and the supervising faculty member., Prerequiste:  Approval of the faculty advisor and, Museum Director.  Credit:  One to four semester, hours.		
ART*521	Internship:French Creek Projct	2	4	An internship in illustration for publications for the French, Creek Project.  This internship is ideal for the student who has, an interest in drawing for publications, in combining interests, in science, art, and the environment, and in learning about the, relationship between illustrator and client.  The internship, will 1) acquaint the student with the French Creek Project and, the services it provides; 2) demonstrate the connection between, drawing for oneself and drawing for others; and 3) involve the, student in creating illustrations appropriate in both concept and, technique for publication.  The intern will meet regularly with, the project director and the internship faculty to review , drawings, discuss what is needed for the variety of issues , addressed in the publication, and to review and reflect upon , the results of these experiences.  Performance will be , evaluated by the internship faculty in consultation with the, project director.  Must be taken for credit and may be repeated., Credit:  Two to fours semester hours., Prerequisites:  Art 151, 251, or 155 and the, approval of the supervising faculty member.		
ART*522	Art Teaching Internship	2	4	An internship designed to introduce and exemplify, art's capacity for facilitating connection to, community, as well as art's ability to augment, personal development in both students & teachers., The course: 1) acquaints the student with the, concept of a community youth center and the, services it provides; 2)facilitates the, connection, between individual art making and the teaching of, art; 3) involves the intern in the planning and, implementation of appropriate art experiences;, and, 4) requires that the intern read and research, both, traditional and current trends in art education., Must be taken for a grade and may be repeated., Credit: Two to four semester hours., Prerequisites: ART 151, ART 155 or ART 156, and, ART 261.		
ART*523	Internship: Gallery or Museum, Internship: Gallery Or Museum	1	4	An internship that enables students to become, familiar with the operations of an art gallery or, an historical museum, including day-to-day, administration, preparation of special, exhibitions, and interaction with the professional, gallery and museum world.  In addition to duties, assigned by the gallery or museum personnel, the, student keeps a journal and writes a research, paper.  Special projects can be developed as, appropriate to student capabilities and the, institution?s schedule.  The intern is evaluated, by the Gallery or Museum Director and the, supervising faculty member.  Credit:  One to four, semester hours.  Prerequisite:  Approval of the, faculty advisor and Gallery or Museum Director.		
ART*529	Internship: Art	1	4	Academic study completed in support of an, internship experience with a partner institution., An Allegheny faculty member assigns and evaluates, the academic work done by the student. Credit:, One to four semester hours. Prerequisite:, permission of instructor.		
ART*580	Junior Seminar	4	0	Preparation for advanced, independent work in studiio art.  In, additiion to independent studiio work, this seminar includes, readings in contemporary art and covers proposal writing, the , role of history in the art-making process, and how to write an , artist's statement.  It is designed to help prepare art majors , for the senior project.  Required of all studio majors in the , junior year.  Must be taken for a letter grade., Prerequisites:  Two studio art courses and one, art history course.		
ART*582	Seminar: Art History	4	0	Junior Seminar.  Seminar discussions and written, assignments on problems and methods in the history, of art in preparation for the development of, senior research topics.  Required of all majors, and minors in Art History.  Must be taken on the, letter grade basis.		
ART*583	Advanced Studio Projects	4	0	Advanced projects and group discussions.  This, class is designed to help students develop more, independent studio work.  Highly recommended as, a follow-up to Art 580 for majors preparing for, the Senior Project.  Required of all minors in, studio art.  Also recommended that students, complete the media sequence before enrolling. Must, be taken on the letter grade basis., Prerequisites:  Two studio art courses and one art, history course.		
ART*590	Independent Study	1	4	An independent study or research experience. The, student independently pursues a topic or project, of interest with guidance from a faculty member., Students meet one-on-one with the faculty mentor, on a regular basis and also complete independent, readings, laboratory work, or comparable, activities. Credit: One to four semester credit, hours. Prerequisite: Permission of the instructor.		
ART*591	Group Study	1	4	Group work with faculty guidance. A group of, students meets together with a faculty member on a, regular basis to pursue a topic in depth. Students, typically complete a set of common readings and, assignments. Prerequisite: permission of, instructor.		
ART*600	Senior Project I: Art History	2	0	Preparation of a proposal, thesis, and preliminary, bibliography for the Senior Project.  Credit/No, Credit grade only.  Credit:  Two semester hours., Prerequisite: Art 582 or permission of instructor.		
ART*610	Senior Project II: Art History	4	0	Completion of a research project in art history, approved by the department. Prerequisite: Art 600., Must be taken on the letter grade basis.		
ART*620	Senior Project: Studio Art	4	0	Must be taken on the letter grade basis.		
ARTEN*301	Art and the Environment	4	0	An interdisciplinary exploration of contemporary, environmental issues that affect community, vitality and environmental resilience, including, impacts on both the natural and human-made, environments. Drawing upon literature from within, the fields of community design, environmental, restoration and/or remediation, landscape, architecture, ecological art, digital and social, media, and community activism, students examine a, local/regional environmental problem and, collaborate on finding arts-based solutions for, that problem. Design of the collaborative project, and potential solutions requires integration of, art, science, theories of change, and community, planning. Topics vary based on identification of, relevant local/regional projects. Prerequisites:, Art 156, Environmental Science 110, and, permission of the instructor or completion of the, other coursework for the Art and Environment, minor.	ME	CL
ARTEN*529	Internship: Art & the Environment	1	4	Academic study completed in support of an, internship experience with a partner institution., An Allegheny faculty member assigns and evaluates, the academic work done by the student. Credit:, One to four semester hours. Prerequisite:, permission of instructor.		
ARTEN*590	Independent Study	1	4	An independent study or research experience. The, student independently pursues a topic or project, of interest with guidance from a faculty member., Students meet one-on-one with the faculty mentor, on a regular basis and also complete independent, readings, laboratory work, or comparable, activities. Credit: One to four semester credit, hours. Prerequisite: Permission of the instructor.		
ARTEN*591	Group Study	1	4	Group study or research with faculty guidance. A, group of students meets together with a faculty, member on a regular basis to pursue a topic in, depth. Students typically complete a set of, common, readings and assignments. Credit: One to four, semester credit hours. Prerequisite: Permission, of, instructor.		
BCHEM*529	Internship: Biochemistry	1	4	Academic study completed in support of an, internship experience with a partner institution., An Allegheny faculty member assigns and evaluates, the academic work done by the student. Credit:, One to four semester hours. Prerequisite:, permission of instructor.		
BCHEM*580	Jr Sem: Biochem Investigations	4	0	Laboratory-based course centered on the extended, analysis of a biological problem using biological,, chemical, and physical techniques.  The course, emphasizes the way in which different disciplines, approach the same biochemical topic and includes, presentations by Biochemistry faculty on their, current research activities. Students are expected, to report the outcome of their experiments via, laboratory papers and oral presentations.  Labor-, atory performance is also evaluated.		
BCHEM*590	Independent Study	1	4	Study of special topics and/or laboratory research selected by, the student who wishes to pursue independent work on material, not covered in established courses.		
BCHEM*600	Senior Project I	2	0	Development of individual senior research projects, in group and individual meetings with the project, advisor and other appropriate faculty members., Pertinent literature is examined in order to, identify proper experimental approaches, designs,, techniques, and methods of data analysis. Oral and, written research proposals and progress reports, will be presented and discussed.  Credit:  Two, semester hours. Prerequistes:  Intended for, Biochemistry majors, seniors only.		
BCHEM*610	Senior Project II	4	0	A continuation of BioChem 600.  Group and, individual meetings are held to evaluate, student research projects.  Emphasis is, placed on data analysis and interpretation,, and on modes of presentation of research, findings.  Students complete a written thesis, and and oral defense before a board of, biochemistry faculty.  Credit: 4 semester hours., Prerequisites:  Successful completion of, Biochemistry 600.  Intended for Biochemistry, majors, seniors only.		
BCHEM*620	Senior Project	4	0	One-semester senior project, graded.  Credit: , Four semester hours.		
BIO*045	Biology of the Algae	4	0	An examination of the basic biology of the algae, and their role in ecosystems & interrelationships, with humans.  Local algal flora in area streams, and lakes are sampled during field trips and, investigated in the laboratory.  Topics include, ecology, physiology, cellular biology, and, taxonomic diversity of the algae, and the effects, of algae on the environment and human society., Laboratory, one period.  May not be taken for, credit by biology majors or minors., **Note: This course is for non-science majors, and, the restriciton in the last sentence is designed, to prevent upper-division biology majors or minors, from taking this course.	SP	QR
BIO*078	The Biology of Behavior	4	0	An investigation of biological principles of animal behavior, through the study of physiological, genetic, developmental,, ecological, and evolutionary processes.  One laboratory per week.	SP	QR
BIO*081	Insects and Humans	4	0	A study of the basic biology of insects, with an emphasis on the, interrelationships between insects and humans.  These , interrelationships include the beneficial roles of insects in, agriculture, their negative impact as pests and disease vectors,, and ways in which insect populations and activities can be, controlled.		
BIO*082	Insects and Humans	4	0	A Study of the basic biology of insects, with an, emphasis on the interrelationships between insects, and humans.  These interrelationships include the, beneficial roles of insects in agriculture, their, negative impact as pests and disease vectors, and, ways in which insect populations and activities, can be controlled.  One laboratory per week.	SP	
BIO*220	Organismal Physiology/Ecology	4	0	An introduction to the biology of organismal form, and function (physiology) and the interaction of, organisms with their environment (ecology).  We, take a comparative approach to the , diversity of physiological systems that have, evolved in , different organisms to meet the environmental, challenges that, they face (energy, water balance, excretion of, wastes,, communication, reproduction, gas exchange,, defense).  We also, consider how the interactions between organisms, and their , physical and biological environment (other, organisms) affect, the distribution and abundance of populations and, ecosystems., Three lectures and one discussion period per, week., Prerequisite:  Chemistry 110.	SP	QR
BIO*221	Genetics Development/Evolution	4	0	An introduction to the central role of genetics in modern , biology.  Topics include an examination of how genetic , information is expressed and regulated, how it directs , organismal development, how it is passed from one generation to, the next, and how it is modified via the evolutionary process., Three lectures and one discussion period per week., Prerequisite:  Biology 220.	SP	QR
BIO*300	Bioinformatics	4	0	An introduction to the development and, application of computational and information, science based methods for the investigation of, biological phenomena. In this interdisciplinary, course, students integrate computational, techniques with biological knowledge to develop, and apply analytical tools for extracting,, organizing, and interpreting information from, genetic sequence data. Often participating in, team-based activities, students implement and, apply useful bioinformatics algorithms. During, the weekly laboratory session students employ, cutting-edge software tools and programming, environments to complete projects, reporting on, their results in both written assignments and, oral presentations. Prerequisites: BIO 221 and, FSBIO 201, or CMPSC 111. Distribution, Requirements: QR, SP.	SP	QR
BIO*301	Physiological Ecology	4	0	A study of the relations of organisms to one, another and to their surrounding physical, environment, with an emphasis on understanding, how physiological traits of animals affect their, geographic distributions and interactions with, one another. Topics include hormonal control of, development, metabolic changes in response to, environmental change, physiological costs of, reproduction, disease ecology, and physiology of, behavior. Labs involve field collections and, sampling as well as indoor activities measuring, animal physiological responses to various, ecological conditions. One laboratory per week., Prerequisites: BIO 220, BIO 221, and FSBIO 201., Distribution Requirements: QR, SP.	SP	QR
BIO*305	Molecular Biology	4	0	A study of molecular components of replication, and gene expression in prokaryotes and, eukaryotes. The molecular aspects of gene, structure, function, and regulation are, emphasized, as are current, methods for the study of these topics.  One, laboratory per week.  Prerequisites:  Biology, 220, 221, and FSBio 201 or FSChem 201.	SP	QR
BIO*310	Microbiology	4	0	A study of the structure, physiology, genetics,, and evolution of prokaryotes, viruses, and lower, eukaryotes.  Emphasis is placed on microbial, diversity, interactions among microbes, and, interactions of microbes with their environment,, including human hosts. Lectures include, discussions of papers from the primary, literature.  One laboratory per week., Prerequisites:  Biology 220, Biology 221, and FS, Bio 201 or FS Chem 201.	SP	
BIO*320	Cell Biology	4	0	A study of the structure and function of, eukaryotic cells.  Topics include current methods, in cell biology and molecular genetics, the, structure and function of major organelles and, sytoskeletal elements, interactions between, cells, regulation, of cell division and cell death, and signal, transduction pathways.  One laboratory per week., Prerequisites: Biology 220, 221, FSBIO 201 or, FSCHE 201 and Chemistry 231.	SP	QR
BIO*321	Epidemiology	4	0	A study of the determinants of health and of the, patterns and distribution of disease. Students, receive an introduction to epidemiology,, including its historical origins, main concepts,, and methods. Topics include the philosophical and, ethical dimensions of epidemiology, data types, and interpretation, and differences between, association and causation. Students learn some, research methodologies, how evidence-based, recommendations are formed, and the application, of epidemiological information to both social, policy and clinical science. Prerequisite: Global, Health Studies 130 or permission of the, instructor.	QR	SP
BIO*325	Genetics	4	0	A study of the mechanisms of inheritance at the, molecular, organismal, and popluation levels., One laboratory per week.  BIO 220, BIO 221, and, FSBIO 201 or FSCHE 201.	SP	QR
BIO*330	Population and Community Ecology	4	0	A study of the dynamics of populations and how, they change with time and interact with other, populations of mutualists, competitors,, predators, and prey. Students examine the, emergent properties of communities (interacting, population assemblages) and ecosystems such as, diversity, productivity, energy flow, and, nutrient dynamics. Laboratories emphasize, investigations in local field sites. One, laboratory per week. Prerequisites: BIO 220, BIO, 221, FSBIO, and either MATH 158 or MATH 160.	SP	QR
BIO*331	Paleobiology	4	0	A study of temporal and spatial changes of the, Earth's fauna within the context of evolution and, geological processes. Our study focuses on, analysis and use of paleontological data in, evolution, systematics, paleoecology,, paleoclimatology, geology, and extinction., Laboratory: one period plus field trips., Prerequisites: BIO 220 and FSBIO 201, or GEO 120, and FSGEO 201.	SP	QR
BIO*332	Forest Ecosystems and Management	4	0	A study of forest ecosystems and threats to, forests caused by human actions.  The course, examines fundamental ecological processes that, control forest ecosystems and the importance of, forests in regional and global environments., Impacts of globel warning, forest harvesting,, air pollution, and improper management are, discussed.  Management regimes that result in, sustainable forest practices are also explored., Regional forest issues, as well as national and, international forest concerns, are addressed., Laboratory exercises will examine topics in local, forested environments.  One laboratory per week., Prerequisites:  ES 110, ES 210 or a lab-based, course in the natural science division.	SP	QR
BIO*335	Conservation Biology	4	0	The study of biological diversity and the increasingly severe, effects of human society on populations and communities of, wild organisms.  Emphasis on local and global patterns of, diversity, causes and consequences of declines in diversity, , and ways to work with natural or managed systems to maintain or, restore diversity.  The laboratory emphasizes learning local, flora and fauna, investigating local conversation biology , issues, and using tools and techniques of wildlife and natural, resource management to understand and resolve conservation, problems.  Prerequisites:  Biology 220, 221, and, FS Bio 201 or Environmental Science 110.	SP	QR
BIO*340	Evolution	4	0	An examination of modern evolutionary biology,, focusing on the process & pattern of evolutionary, change.  Topics include sources of genetic, variation, natural selection and adaptation,, molecular evolution, speciation, macroevolution,, and the reconstruction evolutionary history., Prerequisites:  Biology 220, 221 and FS Bio 201.	SP	QR
BIO*344	Stream Ecology	4	0	Study of the physical and biological characteris-, trics of stream ecosystems.  The laboratory, emphasizes field study of local aquatic habitats., One laboratory per week.  Prerequisites: Biology, 220, 221 and FS Bio 201 or Environmental Science, 110.	SP	QR
BIO*346	Wetlands	4	0	A study of the ecology and hydrlogy of marshes, swamps, bogs and, other transitional habitats between aquatic and terrestrial, ecosystem.  Emphasis is on "ecosystem services" (hydrologic, filters, pollutant sinks, productivity, biodiversity), on the, history of wetlands destruction, and on current regulation and, management approaches.  The laboratory emphasizes field methods, for determination and delineation of wetlands based on soils, , hydrology, and vegetation.  One laboratory per, week.  Prerequisites:  Biology 220, 221 and FS Bio, 201 or Environmental Science 110.	SP	QR
BIO*350	Immunology	4	0	An introduction to the cellular and molecular, basis of vertebrate immune systems.  Topics, include the components and organization of the, immune system, development of the immune system,, studies of how organisms mount an immune, response, and how the immune response itself can, cause disease by being hypo- or hyper-reactive. , Discussions of seminal papers from the primary, literature and case studies of immune dysfunction, are emphasized.  Three lectures and one, recitation per week.  Prerequisite: Biology 220.	SP	
